節,日付,曜日,予備日付,予備曜日,時刻,会場,対戦相手,AT管理用チームID,次アウェイ,次アウェイチーム名
2,2025/02/22,土,2025/02/23,日,14:00,三協F柏,川崎フロンターレ,t007,t014,セレッソ大阪
3,2025/02/26,水,,,19:00,三協F柏,セレッソ大阪,t014,t004,浦和レッズ
5,2025/03/08,土,,,16:00,三協F柏,鹿島アントラーズ,t002,t006,サンフレッチェ広島
7,2025/03/29,土,,,14:00,三協F柏,東京ヴェルディ,t030,t021,京都サンガF.C.
9,2025/04/05,土,2025/04/06,日,,三協F柏,ガンバ大阪,t009,t011,清水エスパルス
12,2025/04/25,金,2025/04/26,土,,三協F柏,アルビレックス新潟,t029,t012,名古屋グランパス
15,2025/05/06,火,2025/05/07,水,,三協F柏,清水エスパルス,t011,t041,ファジアーノ岡山
16,2025/05/10,土,2025/05/11,日,,三協F柏,ファジアーノ岡山,t041,t040,FC町田ゼルビア
19,2025/05/31,土,2025/06/01,日,,三協F柏,ヴィッセル神戸,t008,t030,東京ヴェルディ
21,2025/06/21,土,2025/06/22,日,,三協F柏,京都サンガF.C.,t021,t011,清水エスパルス
23,2025/07/05,土,,,,三協F柏,FC東京,t003,t002,鹿島アントラーズ
25,2025/08/09,土,2025/08/10,日,,三協F柏,湘南ベルマーレ,t010,t041,ファジアーノ岡山
27,2025/08/22,金,,,,三協F柏,浦和レッズ,t004,t008,ヴィッセル神戸
28,2025/08/30,土,2025/08/31,日,,三協F柏,アビスパ福岡,t013,t006,サンフレッチェ広島
31,2025/09/23,火,,,,三協F柏,サンフレッチェ広島,t006,t014,セレッソ大阪
33,2025/10/04,土,2025/10/05,日,,三協F柏,横浜F･マリノス,t001,t009,ガンバ大阪
35,2025/10/25,土,2025/10/26,日,,三協F柏,横浜FC,t031,t002,鹿島アントラーズ
36,2025/11/08,土,2025/11/09,日,,三協F柏,名古屋グランパス,t012,t029,アルビレックス新潟
38,2025/12/06,土,,,,三協F柏,FC町田ゼルビア,t040,t030,東京ヴェルディ
